Barcode,Representation.indicators.from.cover.and.summary,intersectionality_score,Representation.indicators.from.cover.and.summary_no_animals,intersectionality_score_no_animals,Language,Call.Number,Author,Publication.Year,Subject,Title.Subtitle,Checkouts...Local.Patrons,Checkouts...Visiting.Patrons
30405010694474,Animals and/or mythical creatures,1,,0,English,398.8 MOT,,1965,Nursery rhymes.,Brian Wildsmith's Mother Goose : a collection of nursery rhymes.,0,0
30405000736798,Animals and/or mythical creatures,1,,0,English,398.2 THR,"Galdone, Paul.",1970,Folklore.,The three little pigs,0,0
30405001155998,,0,,0,English,398.2 GRI,"Grimm, Jacob, 1785-1863.",1980,Fairy tales.,Hansel and Gretel,0,0
30405001646921,Animals and/or mythical creatures,1,,0,English,398.2 AES,illustrated by Heidi Holder.,1981,Fables.,Aesop's fables,0,0
30405001199236,,0,,0,English,398.2 GRI,Brothers Grimm ; illustrated by Anthony Browne.,1981,Fairy tales.,Hansel and Gretel,0,0
30405011821084,,0,,0,English,398.8 MOT,illustrated by Blanche Fisher Wright,1983,Children's poetry.,The real Mother Goose,0,0
30405011821076,,0,,0,English,398.8 MOT,illustrated by Blanche Fisher Wright,1983,Children's poetry.,The real Mother Goose,0,0
30405011821068,,0,,0,English,398.8 MOT,illustrated by Blanche Fisher Wright,1983,Children's poetry.,The real Mother Goose,0,0
30007110002336,Animals and/or mythical creatures,1,,0,English,398.2 AES,selected and illustrated by Michael Hague.,1985,Aesop's fables -- Translations into English,Aesop's fables,0,0
30405012270190,Animals and/or mythical creatures,1,,0,English,398.8 GAL,"Galdone, Paul.",1986,Animals -- Poetry.,Over in the meadow : an old nursery counting rhyme,0,0
30405020016197,,0,,0,English,398.8 MAR,"Marzollo, Jean.",1986,Children's poetry.,The rebus treasury,0,0
30405012915182,Animals and/or mythical creatures,1,,0,English,398.2 STE,"Stevens, Janet.",1987,Fairy tales.,The three Billy Goats Gruff,0,0
30405020036856,Animals and/or mythical creatures,1,,0,English,398.2 MAR,"Marshall, James, 1942-",1989,Expanding:  Early,The three little pigs,0,0
30405020223298,,0,,0,English,398.2 MAR,"Marshall, James, 1942-",1990,Fairy tales.,Hansel and Gretel,0,0
30405012244898,,0,,0,English,398.2 MAR,"Marshall, James, 1942-",1990,Fairy tales.,Hansel and Gretel,0,0
30007060082566,,0,,0,English,398.22 KEL,"Kellogg, Steven.",1994,"Fink, Mike, 1770-1823? -- Legends.",Mike Fink : a tall tale,0,1
30405012723677,Animals and/or mythical creatures,1,,0,English,398.2 WIS,"Wisniewski, David.",1996,Accelerated Reader AR-ATOS,Golem,0,0
30007110002344,Animals and/or mythical creatures,1,,0,English,398.24 PIN,Jerry Pinkney.,2000,Fables.,Aesop's fables,0,0
30007110002340,Animals and/or mythical creatures,1,,0,English,398.2 SNE,"Sneed, Brad.",2003,Aesop's fables -- Adaptations,Aesop's fables,0,0
30007110002343,Animals and/or mythical creatures,1,,0,English,398.24 WOR,"Wormell, Christopher.",2004,Aesop's fables -- Adaptations,"Mice, morals & monkey business : lively lessons from Aesop's fables",0,0
30007110001877,,0,,0,English,398.2 MIL,"Mills, Lauren A.",2005,Fairy tales.,Thumbelina,0,0
30007060181442,,0,,0,English,398.2 PRA,"Prap, Lila, 1955-",2006,Fairy tales.,Once upon-- 1001 stories,0,0
30007110005402,Animals and/or mythical creatures,1,,0,English,398.2 MAC,"MacDonald, Margaret Read, 1940-",2007,Dogs -- Folklore.,"The great smelly, slobbery, small-tooth dog : a folktale from Great Britain",0,0
30007110005283,Animals and/or mythical creatures,1,,0,English,398.2 MAC,"MacDonald, Margaret Read, 1940-",2007,Folklore -- Hungary.,Little Rooster's diamond button,0,0
30007110005685,,0,,0,English,398.41 RON,"Rondina, Catherine.",2010,Folklore -- Miscellanea,Don't touch that toad & other strange things adults tell you,0,0
30007040061334,Animals and/or mythical creatures,1,,0,Spanish,SPA 398.2 BRE,"Brett, Jan, 1949-",2018,Folk tales.,El mitón : un cuento folclórico ucraniano adapto e ilustrado por Jan Brett ; traducido por Teresa Mlawer.,0,1
30007090131581,Animals and/or mythical creatures,1,,0,English,398.2 SER,"Seredy, Kate.",1965,Folklore -- Hungary.,The white stag,1,0
30405000413588,Animals and/or mythical creatures,1,,0,English,398.2 ASB,"Asbj̜rnsen, Peter Christen, 1812-1885.",1973,Fairy tales.,The three billy goats Gruff,1,0
30405001155998,,0,,0,English,398.2 GRI,"Grimm, Jacob, 1785-1863.",1980,Fairy tales.,Hansel and Gretel,1,0
30405001199236,,0,,0,English,398.2 GRI,Brothers Grimm ; illustrated by Anthony Browne.,1981,Fairy tales.,Hansel and Gretel,1,0
30405070012070,Animals and/or mythical creatures,1,,0,English,398.2 HOD,"Hodges, Margaret.",1984,Accelerated Reader AR-ATOS.,Saint George and the dragon : a golden legend,1,0
30405010259542,,0,,0,English,398.8 HAG,selected and illustrated by Michael Hague.,1984,Nursery rhymes.,Mother Goose : a collection of classic nursery rhymes,1,0
30405001663363,,0,,0,English,398.2 KEL,"Kellogg, Steven.",1984,"Bunyan, Paul (Legendary character)","Paul Bunyan, a tall tale",1,0
30405001501167,,0,,0,English,398.2 KEL,"Kellogg, Steven.",1986,Folklore -- United States.,Pecos Bill,1,0
30405020082025,Animals and/or mythical creatures,1,,0,English,398.2 BOL,"Bolliger, Max.",1989,Fables.,Tales of a long afternoon : five fables and one other,1,0
30405020041377,,0,,0,English,398.2 HEN,[illustrated by] H. Werner Zimmerman.,1989,Folklore.,Henny Penny,1,0
30405020223298,,0,,0,English,398.2 MAR,"Marshall, James, 1942-",1990,Fairy tales.,Hansel and Gretel,1,0
30405012244898,,0,,0,English,398.2 MAR,"Marshall, James, 1942-",1990,Fairy tales.,Hansel and Gretel,1,0
30405011805665,,0,,0,English,398.8 MOT,Barnes & Noble Books.,1992,Children's poetry.,The Real Mother Goose,1,0
30405012193996,,0,,0,English,398.2 SCH,"Schecter, Ellen.",1994,Fairy tales.,Diamonds and toads : a classic fairy tale,1,0
30405012491549,,0,,0,English,398.2 TAL,"Talbott, Hudson.",1995,Folklore -- England.,King Arthur and the Round Table,1,0
30007110005103,Animals and/or mythical creatures,1,,0,English,398.8 HOB,"Hoberman, Mary Ann.",1998,Children's poetry.,Miss Mary Mack : a hand-clapping rhyme,1,0
30007060082400,,0,,0,English,398.2 PLU,"Plume, Ilse.",1998,Animals -- Folklore.,The Bremen-town musicians,1,0
30007070080006,Animals and/or mythical creatures,1,,0,English,398.8 HER,edited by Iona Opie ; illustrated by Rosemary Wells.,1999,Children's poetry.,Here comes Mother Goose,1,0
30405013503698,Animals and/or mythical creatures,1,,0,English,398.24 WAT,"Wattenberg, Jane.",2000,Accelerated Reader,Henny-Penny,1,0
30007110005278,,0,,0,English,398.2 LEG,,2003,Legends,"Legends, myths, and folktales : celebrate the stories that have moved the world for centuries.",1,0
30007110004812,Animals and/or mythical creatures,1,,0,English,398.8 FIT,"Fitzgerald, Joanne, 1956-",2008,Kindergarten,Yum! Yum!! : delicious nursery rhymes,1,0
30007060548020,Animals and/or mythical creatures,1,,0,"English, Spanish",SPA 398.24 OTT,"Ottolenghi, Carol, 1959-",2008,Animals -- Folklore.,The Little Red Hen = La Gallinita Roja,1,1
30007110005370,Animals and/or mythical creatures,1,,0,English,398.2 PAL,"Palatini, Margie.",2009,Fables.,Lousy rotten stinkin' grapes,1,0
30405010224918,,0,,0,English,398.2 GRI,"Grimm, Jacob, 1785-1863.",1961,Folklore -- Germany.,Rapunzel,2,1
30405000573449,Animals and/or mythical creatures,1,,0,English,398.2 LIT,"Galdone, Paul.",1974,Folklore.,Little Red Riding Hood,2,2
30405010257140,,0,,0,English,398.2 SHU,"Shulevitz, Uri, 1935-",1978,Folklore -- England.,The treasure,2,0
30405001043871,Animals and/or mythical creatures,1,,0,English,398.2 AES,pictures by Ed Young.,1979,Animals -- Fiction.,The Lion and the mouse : an Aesop fable,2,0
30405001155998,,0,,0,English,398.2 GRI,"Grimm, Jacob, 1785-1863.",1980,Fairy tales.,Hansel and Gretel,2,0
30405001199236,,0,,0,English,398.2 GRI,Brothers Grimm ; illustrated by Anthony Browne.,1981,Fairy tales.,Hansel and Gretel,2,0
30405001282222,,0,,0,English,398.2 GRI,"Hyman, Trina Schart.",1983,aldecott honor book,Little Red Riding Hood,2,2
30405012262726,Animals and/or mythical creatures,1,,0,English,398.2 AES,with pictures by Milo Winter.,1984,Aesop's fables -- Adaptations,The Aesop for children,2,0
30405001519698,Animals and/or mythical creatures,1,,0,English,398.2 MAR,"Marshall, James, 1942-",1987,Fairy tales.,Red Riding Hood,2,0
30405013266288,Animals and/or mythical creatures,1,,0,English,398.2 MCC,"McCaughrean, Geraldine.",1989,Dragons.,Saint George and the dragon,2,0
30405020073289,,0,,0,English,398.2 HAU,"Hautzig, Deborah.",1989,Folklore -- Germany (West) -- Hamelin.,The Pied Piper of Hamelin,2,2
30405020001389,,0,,0,English,398.2 MOR,"Morris, Ann, 1930-",1989,Fairy tales.,The Cinderella rebus book,2,0
30405020223298,,0,,0,English,398.2 MAR,"Marshall, James, 1942-",1990,Fairy tales.,Hansel and Gretel,2,0
30405012244898,,0,,0,English,398.2 MAR,"Marshall, James, 1942-",1990,Fairy tales.,Hansel and Gretel,2,0
30405012259656,,0,,0,English,398.2 BIR,"Birdseye, Tom.",1993,Folklore -- Appalachian Region.,Soap! Soap! don't forget the soap! : an Appalachian folktale,2,0
30405012404724,Animals and/or mythical creatures,1,,0,English,398.2 EMB,"Emberley, Rebecca.",1995,Fairy tales.,Three cool kids,2,0
30405012405390,,0,,0,English,398.2 BER,"Berenzy, Alix.",1995,Fairy tales.,Rapunzel,2,1
30007060046413,,0,,0,English,398.2 SAN,"San Souci, Robert D.",1998,Folklore -- Folklore.,Young Lancelot,2,0
30007090136556,Animals and/or mythical creatures,1,,0,English,398.2 SAL,"Salley, Coleen.",2002,Fairy tales.,Who's that tripping over my bridge?,2,0
30007110002161,,0,,0,English,398.8 SIE,"Sierra, Judy.",2005,Games.,"Schoolyard rhymes : kids' own rhymes for rope skipping, hand clapping, ball bouncing, and just plain fun",2,0
30007060407730,,0,,0,English,398.2 PIU,"Piumini, Roberto.",2011,Folklore -- Germany -- Hameln.,The Pied Piper of Hamelin,2,2
30007060546958,Animals and/or mythical creatures,1,,0,"English, Spanish",SPA 398.22 RAN,"Ransom, Candice F., 1952-",2019,Bears.,Goldilocks and the three bears = Ricitos de oro y los tres osos,2,1
30007060535340,Animals and/or mythical creatures,1,,0,"English, Spanish",SPA 398.24 SEI,"Seibert, Patricia.",2019,Fairy tales.,The three little pigs = Los tres cerditos,2,1
30405013507020,,0,,0,English,398.2 JAC,illustrated by Matt Faulkner.,1965,Folklore.,Jack and the beanstalk,3,0
30405001016034,Animals and/or mythical creatures,1,,0,English,398.2 GAL,"Galdone, Paul.",1969,Folklore -- India.,The monkey and the crocodile : a Jataka tale from India.,3,0
30405000592340,,0,,0,English,398.2 VAN,"Van Woerkom, Dorothy.",1975,Fairy tales.,The queen who couldn't bake gingerbread,3,0
30405000685425,,0,,0,English,398.2 GRI,"Grimm, Jacob, 1785-1863.",1977,Fairy tales.,Thorn Rose,3,0
30405010257389,,0,,0,English,398.2 SEU,"Seuling, Barbara.",1978,Folklore -- England.,The teeny tiny woman : an old English ghost tale,3,0
30405000963582,,0,,0,English,398.2 GRI,"Grimm, Jacob, 1785-1863.",1978,Fairy tales.,The twelve dancing princesses,3,0
30405020346198,,0,,0,English,398.2 THO,"Thomson, Peggy.",1988,Midas.,The king has horse's ears,3,0
30405020040304,Animals and/or mythical creatures,1,,0,English,398.2 STE,"Stevens, Janet.",1989,Cats -- Folklore.,How the Manx cat lost its tail,3,0
30405020357484,,0,,0,English,398.2 KEL,"Kellogg, Steven.",1991,Fairy tales.,Jack and the beanstalk,3,0
30405020275975,,0,,0,English,398.2 DEP,"De Paola, Tomie.",1991,Folklore -- Ireland.,Jamie O'Rourke and the big potato : an Irish folktale,3,1
30405013050575,Animals and/or mythical creatures,1,,0,English,398.2 DEL,"DeLuise, Dom.",1992,Bears -- Folklore.,Goldilocks,3,0
30405012950791,Animals and/or mythical creatures,1,,0,English,398.2 SCH,"Schecter, Ellen.",1995,Fables.,The town mouse and the country mouse,3,0
30405012549817,Animals and/or mythical creatures,1,,0,English,398.2 YOL,"Yolen, Jane.",1995,Aesop's fables -- Adaptations,A sip of Aesop,3,0
30007110002443,Animals and/or mythical creatures,1,,0,English,398.2 SAN,"Sanderson, Ruth.",1995,Fairy tales.,Papa Gatto : an Italian fairy tale,3,0
30007070080022,Animals and/or mythical creatures,1,,0,English,398.8 MY,edited by Iona Opie ; illustrated by Rosemary Wells.,1996,Children's poetry.,My very first Mother Goose,3,0
30405040010501,,0,,0,English,398.2 WEL,"Wells, Rosemary.",1997,Fairy tales.,Jack and the beanstalk,3,0
30007060043493,,0,,0,English,398.2 OSB,"Osborne, Mary Pope.",2000,Accelerated Reader,Kate and the beanstalk,3,1
30007060100723,,0,,0,English,398.8 MOS,"Moses, Will.",2003,Children's poetry.,Mother Goose,3,0
30007060132734,Animals and/or mythical creatures,1,,0,English,398.2 SHE,"Shepard, Aaron.",2004,Accelerated Reader AR,King o' the cats,3,0
30007110005415,,0,,0,English,398.2 MAC,"MacDonald, Margaret Read, 1940-",2006,Folklore -- Great Britain.,Teeny Weeny Bop,3,0
30007110005499,,0,,0,English,398.2 CEC,"Cech, John.",2009,Fairy tales.,The twelve dancing princesses,3,0
30007110005438,,0,,0,English,398.2 DER,"De Regniers, Beatrice Schenk.",2009,Folklore -- Slavic countries.,Little Sister and the Month Brothers,3,0
30007060407888,,0,,0,English,398.2 NAP,"Napoli, Donna Jo, 1948-",2011,"Mythology, Greek.","Treasury of Greek mythology : classic stories of gods, goddesses, heroes & monsters",3,0
30007060535332,Animals and/or mythical creatures,1,,0,"English, Spanish",SPA 398.2 OTT,"Ottolenghi, Carol, 1959-",2019,Fairy tales.,The three billy goats Gruff = Los tres chivitos,3,0
30405010257181,Animals and/or mythical creatures,1,,0,English,398.2 THR,"Galdone, Paul.",1972,Bears -- Fiction.,The three bears,4,0
30405000696166,Animals and/or mythical creatures,1,,0,English,398.2 GAL,"Galdone, Paul.",1976,Fairy tales.,Puss in Boots,4,0
30405001004527,Animals and/or mythical creatures,1,,0,English,398.2 MAY,"Mayer, Marianna.",1978,Fairy tales.,Beauty and the beast,4,0
30405001646921,Animals and/or mythical creatures,1,,0,English,398.2 AES,illustrated by Heidi Holder.,1981,Fables.,Aesop's fables,4,1
30405001399984,Animals and/or mythical creatures,1,,0,English,398.2 MAY,"Mayer, Mercer, 1943-",1984,Fairy tales.,The sleeping beauty,4,0
30007110000051,,0,,0,English,398.2 SCH,"Schwartz, Alvin, 1927-",1984,Accelerated Reader,"In a dark, dark room : and other scary stories",4,0
30007110002336,Animals and/or mythical creatures,1,,0,English,398.2 AES,selected and illustrated by Michael Hague.,1985,Aesop's fables -- Translations into English,Aesop's fables,4,1
30405012915182,Animals and/or mythical creatures,1,,0,English,398.2 STE,"Stevens, Janet.",1987,Fairy tales.,The three Billy Goats Gruff,4,0
30405020019514,Animals and/or mythical creatures,1,,0,English,398.2 COV,"Coville, Bruce.",1988,"Animals, Mythical.",The unicorn treasury,4,0
30405020018060,Animals and/or mythical creatures,1,,0,English,398.2 BRE,"Brett, Jan.",1989,Fairy tales.,Beauty and the beast,4,0
30405020245580,,0,,0,English,398.2 FAV,[edited by] Richard and Judy Dockrey Young.,1990,Folklore.,Favorite scary stories of American children,4,0
30007090138156,,0,,0,English,398.2 SCH,"Schecter, Ellen.",1994,Fables.,"The boy who cried ""Wolf!""",4,0
30405012467465,Animals and/or mythical creatures,1,,0,English,398.2 STE,"Stevens, Janet.",1995,African Americans -- Folklore.,Tops & bottoms,4,0
30405012541673,,0,,0,English,398.2 MAC,"MacDonald, Margaret Read, 1940-",1995,Contentment -- Folklore.,The old woman who lived in a vinegar bottle : a British fairy tale,4,0
30007060082582,,0,,0,English,398.2 YOL,"Yolen, Jane.",1997,Fairy tales.,Once upon a bedtime story : classic tales,4,0
30405012987843,Animals and/or mythical creatures,1,,0,English,398.2 VAG,"Vagin, Vladimir Vasilevich, 1937-",1998,"AR, Accelerated Reader/Advantage Learning Systems",The enormous carrot,4,2
30007070080030,Animals and/or mythical creatures,1,,0,English,398.8 SYL,[illustrated by Sylvia Long].,1999,Children's poetry.,Sylvia Long's Mother Goose,4,0
30007110002344,Animals and/or mythical creatures,1,,0,English,398.24 PIN,Jerry Pinkney.,2000,Fables.,Aesop's fables,4,1
30007110005281,Animals and/or mythical creatures,1,,0,English,398.2 MAC,"MacDonald, Margaret Read, 1940-",2001,Accelerated Reader,Fat cat : a Danish folktale,4,0
30007110002340,Animals and/or mythical creatures,1,,0,English,398.2 SNE,"Sneed, Brad.",2003,Aesop's fables -- Adaptations,Aesop's fables,4,1
30007110005164,,0,,0,English,398.2 MAR,"Marzollo, Jean.",2005,Constellations,"Little Bear, you're a star : a Greek myth about the constellations",4,0
30007110001877,,0,,0,English,398.2 MIL,"Mills, Lauren A.",2005,Fairy tales.,Thumbelina,4,1
30007110002901,Animals and/or mythical creatures,1,,0,English,398.209 EIL,"Eilenberg, Max.",2006,Fairy tales.,Beauty and the beast,4,0
30007110005405,Animals and/or mythical creatures,1,,0,English,398.2 MAC,"MacDonald, Margaret Read, 1940-",2008,Fables.,Bat's big game,4,0
30007060325866,Animals and/or mythical creatures,1,,0,English,398.2 HUL,"Huling, Jan.",2010,Animals -- Folklore.,Ol' Bloo's boogie-woogie band and blues ensemble,4,0
30007060320453,Animals and/or mythical creatures,1,,0,English,398.2 HUL,"Huling, Jan.",2010,Animals -- Folklore.,Ol' Bloo's boogie-woogie band and blues ensemble,4,0
30007060408076,,0,,0,English,398.2 KAR,"Karas, G. Brian.",2010,Picture books for children,Young Zeus,4,0
30007060407854,,0,,0,English,398.2 MAC,"MacDonald, Margaret Read, 1940-",2010,Folklore -- Ireland.,Too many fairies : a Celtic Tale,4,0
30007060290128,,0,,0,English,398.2 OSB,"Osborne, Mary Pope.",2010,Fairies.,Leprechauns and Irish folklore : a nonfiction companion to Leprechaun in late winter,4,0
30007060407490,,0,,0,English,398.2 WIL,"Williams, Marcia, 1945-",2011,Cartoons and comics.,Greek myths,4,0
30007060378634,Animals and/or mythical creatures,1,,0,English,398.24 LOW,"Lowry, Amy.",2012,Fables.,Fox tails : four fables from Aesop,4,0
30007330001024,Animals and/or mythical creatures,1,,0,English,398.20937 TRO,"Troupe, Thomas Kingsley.",2013,Cassiopeia (Constellation).,The story of Cassiopeia : a Roman constellation myth,4,0
30405000847454,Animals and/or mythical creatures,1,,0,English,398.2 AUL,"D'Aulaire, Ingri, 1904-",1972,Folklore.,D'Aulaires' Trolls,5,0
30405000570924,Animals and/or mythical creatures,1,,0,English,398.2 ROC,"Rockwell, Anne F.",1975,Fairy tales.,The three bears & 15 other stories,5,0
30405001155998,,0,,0,English,398.2 GRI,"Grimm, Jacob, 1785-1863.",1980,Fairy tales.,Hansel and Gretel,5,0
30405001646921,Animals and/or mythical creatures,1,,0,English,398.2 AES,illustrated by Heidi Holder.,1981,Fables.,Aesop's fables,5,0
30405001199236,,0,,0,English,398.2 GRI,Brothers Grimm ; illustrated by Anthony Browne.,1981,Fairy tales.,Hansel and Gretel,5,0
30007110002336,Animals and/or mythical creatures,1,,0,English,398.2 AES,selected and illustrated by Michael Hague.,1985,Aesop's fables -- Translations into English,Aesop's fables,5,0
30405001510770,,0,,0,English,398.2 HAW,"Hewitt, Kathryn.",1987,Midas,King Midas and the golden touch,5,0
30405020025339,Animals and/or mythical creatures,1,,0,English,398.2 BER,"Berenzy, Alix.",1989,Fairy tales.,A frog prince,5,0
30405020073289,,0,,0,English,398.2 HAU,"Hautzig, Deborah.",1989,Folklore -- Germany (West) -- Hamelin.,The Pied Piper of Hamelin,5,0
30405020223298,,0,,0,English,398.2 MAR,"Marshall, James, 1942-",1990,Fairy tales.,Hansel and Gretel,5,0
30405012244898,,0,,0,English,398.2 MAR,"Marshall, James, 1942-",1990,Fairy tales.,Hansel and Gretel,5,0
